PathRow S2TileID S2ULX S2ULY PercentOfS2
001052 20PNT 499980 1300020 96.7
001052 20PPS 600000 1200000 11.7
001052 20PPT 600000 1300020 78.4
001052 20PPU 600000 1400040 61.7
001053 20PMR 399960 1100040 28.3
001053 20PMS 399960 1200000 36.2
001053 20PMT 399960 1300020 6.7
001053 20PNR 499980 1100040 65.8
001053 20PNS 499980 1200000 100.0
001053 20PNT 499980 1300020 19.8
001053 20PPR 600000 1100040 31.4
001053 20PPS 600000 1200000 58.1
001053 20PPT 600000 1300020 6.1
001054 20NMP 399960 900000 18.4
001054 20NNP 499980 900000 32.7
001054 20NPP 600000 900000 2.8
001054 20PMQ 399960 1000020 75.2
001054 20PMR 399960 1100040 36.8
001054 20PNQ 499980 1000020 100.0
001054 20PNR 499980 1100040 51.8
001054 20PPQ 600000 1000020 20.1
001054 20PPR 600000 1100040 14.5
001055 20NLN 300000 800040 14.3
001055 20NLP 300000 900000 4.8
001055 20NMN 399960 800040 79.4
001055 20NMP 399960 900000 90.4
001055 20NNM 499980 700020 0.4
001055 20NNN 499980 800040 65.9
001055 20NNP 499980 900000 75.6
001055 20NPP 600000 900000 1.0
001055 20PMQ 399960 1000020 4.2
001056 20NLL 300000 600000 20.6
001056 20NLM 300000 700020 42.7
001056 20NLN 300000 800040 13.3
001056 20NML 399960 600000 47.4
001056 20NMM 399960 700020 100.0
001056 20NMN 399960 800040 38.1
001056 20NNL 499980 600000 21.0
001056 20NNM 499980 700020 52.5
001056 20NNN 499980 800040 17.5
001057 20NLJ 300000 400020 3.0
001057 20NLK 300000 500040 76.2
001057 20NLL 300000 600000 51.6
001057 20NMJ 399960 400020 13.9
001057 20NMK 399960 500040 99.1
001057 20NML 399960 600000 70.2
001057 20NNJ 499980 400020 0.5
001057 20NNK 499980 500040 13.4
001057 20NNL 499980 600000 17.8
001058 20NKH 199980 300000 13.1
001058 20NKJ 199980 400020 10.2
001058 20NLH 300000 300000 61.2
001058 20NLJ 300000 400020 97.9
001058 20NLK 300000 500040 21.1
001058 20NMH 399960 300000 48.9
001058 20NMJ 399960 400020 84.3
001058 20NMK 399960 500040 10.9
001058 20NNJ 499980 400020 0.3
001058 20NNK 499980 500040 0.2
001059 20NKF 199980 100020 11.3
001059 20NKG 199980 200040 49.3
001059 20NKH 199980 300000 21.6
001059 20NLF 300000 100020 29.2
001059 20NLG 300000 200040 100.0
001059 20NLH 300000 300000 56.4
001059 20NMF 399960 100020 12.3
001059 20NMG 399960 200040 45.9
001059 20NMH 399960 300000 27.3
001060 19MHV 799980 10000000 16.6
001060 19NHA 799980 100020 7.3
001060 20MKE 199980 10000000 64.8
001060 20MLD 300000 9900040 0.3
001060 20MLE 300000 10000000 85.1
001060 20MME 399960 10000000 7.2
001060 20NKF 199980 100020 67.7
001060 20NKG 199980 200040 4.4
001060 20NLF 300000 100020 88.5
001060 20NLG 300000 200040 0.7
001060 20NMF 399960 100020 19.5
001061 19MHT 799980 9800020 21.9
001061 19MHU 799980 9900040 46.0
001061 19MHV 799980 10000000 14.8
001061 20MKC 199980 9800020 43.1
001061 20MKD 199980 9900040 99.8
001061 20MKE 199980 10000000 39.5
001061 20MLC 300000 9800020 34.1
001061 20MLD 300000 9900040 78.5
001061 20MLE 300000 10000000 27.0
001062 19MGS 699960 9700000 0.1
001062 19MHR 799980 9600040 3.4
001062 19MHS 799980 9700000 79.8
001062 19MHT 799980 9800020 54.3
001062 20MKA 199980 9600040 11.2
001062 20MKB 199980 9700000 99.2
001062 20MKC 199980 9800020 74.5
001062 20MLA 300000 9600040 5.5
001062 20MLB 300000 9700000 39.9
001062 20MLC 300000 9800020 35.5
